Year,UK_Bugatti_Registered,Estimated_Revenue,Profit_Margin,Estimated_Profit
2005,5,10000000,0.1561810178271044,1561810.1782710438
2006,10,20000000,0.2426071459614874,4852142.919229749
2007,15,30000000,0.20979909127171076,6293972.738151323
2008,17,34000000,0.1897987726295555,6453158.269404887
2009,20,40000000,0.12340279606636548,4936111.842654619
2010,25,50000000,0.12339917805043041,6169958.902521521
2011,30,60000000,0.10871254182522992,6522752.509513795
2012,34,68000000,0.22992642186624027,15634996.686904337
2013,38,76000000,0.19016725176148133,14452711.133872582
2014,41,82000000,0.20621088666940682,16909292.706891358
2015,45,90000000,0.10308767414437037,9277890.672993332
2016,48,96000000,0.24548647782429914,23566701.871132717
2017,52,104000000,0.22486639612006326,23386105.196486577
2018,55,110000000,0.13185086660174142,14503595.326191556
2019,59,118000000,0.1272737450810651,15018301.919565681
2020,62,124000000,0.1275106764780151,15811323.883273872
2021,66,132000000,0.14563633644393068,19223996.410598848
2022,69,138000000,0.17871346474483568,24662458.134787325
2023,72,144000000,0.16479175279631736,23730012.402669698
2024,75,150000000,0.1436843710297063,21552655.654455945
2025,80,160000000,0.19177793420835693,30684469.473337106
2026,84,168000000,0.12092407909780628,20315245.288431454
2027,88,176000000,0.14382169728028274,25312618.721329764
2028,95,190000000,0.15495427649405377,29441312.533870216
